ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:  340000         0.0000         0.0000         0.0000         0.0000          -5603.1562       421.6011         0.0000         0.0000       974.5752          -4206.9799       309.6140     -5181.5551     -4204.5409       302.5667             99.7770       128.3026     22828.4952      -214.2328      -214.2069
ENERGY:  345000         0.0000         0.0000         0.0000         0.0000          -5558.2108       351.6622         0.0000         0.0000       944.4826          -4262.0660       300.0538     -5206.5486     -4261.1977       299.8433           -436.1447      -408.7215     22754.5721      -237.6631      -237.7580
ENERGY:  350000         0.0000         0.0000         0.0000         0.0000          -5558.8224       361.7646         0.0000         0.0000       973.6325          -4223.4253       309.3145     -5197.0578     -4221.4318       299.8795           -401.2258      -376.8002     22739.5672      -240.9312      -240.9646
ENERGY:  355000         0.0000         0.0000         0.0000         0.0000          -5685.7278       429.3349         0.0000         0.0000       913.9416          -4342.4513       290.3512     -5256.3929     -4341.0553       301.7233            370.3722       388.9014     22269.7927      -123.6289      -123.7348
ENERGY:  360000         0.0000         0.0000         0.0000         0.0000          -5606.8443       367.9579         0.0000         0.0000       932.0273          -4306.8591       296.0969     -5238.8864     -4304.4862       296.6321           -658.1475      -632.2471     22872.1922      -165.8417      -165.8850
ENERGY:  365000         0.0000         0.0000         0.0000         0.0000          -5644.8490       440.1472         0.0000         0.0000       971.4156          -4233.2862       308.6102     -5204.7018     -4230.7862       293.1646            239.6338       243.7597     22757.7533      -169.9445      -170.0060
ENERGY:  370000         0.0000         0.0000         0.0000         0.0000          -5535.0395       347.8403         0.0000         0.0000       943.0700          -4244.1292       299.6051     -5187.1993     -4241.0549       298.3992           -503.7899      -481.0070     22656.1938      -284.7454      -284.6186
ENERGY:  375000         0.0000         0.0000         0.0000         0.0000          -5552.2937       321.8885         0.0000         0.0000       955.1517          -4275.2535       303.4433     -5230.4052     -4273.7465       302.6649           -739.3942      -720.7874     22523.6868      -186.2036      -186.3321
ENERGY:  380000         0.0000         0.0000         0.0000         0.0000          -5574.1430       397.9221         0.0000         0.0000       937.0051          -4239.2158       297.6783     -5176.2209     -4236.3482       301.3993           -129.7189      -110.9357     22940.6855      -201.7035      -201.7112
ENERGY:  385000         0.0000         0.0000         0.0000         0.0000          -5639.0254       441.1904         0.0000         0.0000       925.7726          -4272.0624       294.1098     -5197.8350     -4270.1432       301.8461            390.2341       416.8911     22613.0147      -194.9035      -194.9688
