ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:      69       250.4772       156.8718         0.0000         0.0000          -5928.3653       887.0947         0.0000         0.0000         0.0000          -4633.9216         0.0000     -4633.9216     -4633.9216         0.0000           3074.1214     -8320.7936     23823.1240      3074.1214     -8320.7936
ENERGY:      70       337.1074       167.6445         0.0000         0.0000          -5987.2390       857.7360         0.0000         0.0000         0.0000          -4624.7511         0.0000     -4624.7511     -4624.7511         0.0000           1266.4066     -9163.5210     23823.1240      1266.4066     -9163.5210
ENERGY:      71       271.6952       159.5308         0.0000         0.0000          -5944.8936       878.0772         0.0000         0.0000         0.0000          -4635.5904         0.0000     -4635.5904     -4635.5904         0.0000           2558.8013     -8593.2605     23823.1240      2558.8013     -8593.2605
ENERGY:      72       277.5195       160.2582         0.0000         0.0000          -5949.1333       875.8613         0.0000         0.0000         0.0000          -4635.4944         0.0000     -4635.4944     -4635.4944         0.0000           2433.6508     -8653.0510     23823.1240      2433.6508     -8653.0510
ENERGY:      73       272.2706       159.6027         0.0000         0.0000          -5945.3181       877.8538         0.0000         0.0000         0.0000          -4635.5910         0.0000     -4635.5910     -4635.5910         0.0000           2546.3168     -8599.2772     23823.1240      2546.3168     -8599.2772
ENERGY:      74       258.0724       157.3866         0.0000         0.0000          -5952.8834       859.5427         0.0000         0.0000         0.0000          -4677.8817         0.0000     -4677.8817     -4677.8817         0.0000           2607.3762     -8918.6360     23823.1240      2607.3762     -8918.6360
ENERGY:      75       249.2327       155.4609         0.0000         0.0000          -5960.0992       844.9970         0.0000         0.0000         0.0000          -4710.4086         0.0000     -4710.4086     -4710.4086         0.0000           2682.6897     -9186.9163     23823.1240      2682.6897     -9186.9163
ENERGY:      76       243.8698       153.6861         0.0000         0.0000          -5956.5526       840.7795         0.0000         0.0000         0.0000          -4718.2171         0.0000     -4718.2171     -4718.2171         0.0000           2901.6069     -9232.6745     23823.1240      2901.6069     -9232.6745
ENERGY:      77       239.0248       151.9850         0.0000         0.0000          -5952.9550       836.8519         0.0000         0.0000         0.0000          -4725.0934         0.0000     -4725.0934     -4725.0934         0.0000           3121.9758     -9274.6605     23823.1240      3121.9758     -9274.6605
ENERGY:      78       237.8229       151.4373         0.0000         0.0000          -5953.5382       833.0843         0.0000         0.0000         0.0000          -4731.1937         0.0000     -4731.1937     -4731.1937         0.0000           3131.2633     -9334.6956     23823.1240      3131.2633     -9334.6956
ENERGY:      79       236.6748       150.9076         0.0000         0.0000          -5954.1204       829.4860         0.0000         0.0000         0.0000          -4737.0520         0.0000     -4737.0520     -4737.0520         0.0000           3141.7452     -9392.6752     23823.1240      3141.7452     -9392.6752
ENERGY:      80       236.3720       150.6907         0.0000         0.0000          -5955.8106       826.1016         0.0000         0.0000         0.0000          -4742.6462         0.0000     -4742.6462     -4742.6462         0.0000           3101.1077     -9453.2206     23823.1240      3101.1077     -9453.2206
ENERGY:      81       236.0976       150.4845         0.0000         0.0000          -5957.5160       822.8795         0.0000         0.0000         0.0000          -4748.0544         0.0000     -4748.0544     -4748.0544         0.0000           3061.7147     -9511.7929     23823.1240      3061.7147     -9511.7929
ENERGY:      82       236.0403       150.3718         0.0000         0.0000          -5959.5056       819.8535         0.0000         0.0000         0.0000          -4753.2399         0.0000     -4753.2399     -4753.2399         0.0000           3012.1522     -9569.1508     23823.1240      3012.1522     -9569.1508
ENERGY:      83       236.0068       150.2669         0.0000         0.0000          -5961.5113       816.9841         0.0000         0.0000         0.0000          -4758.2534         0.0000     -4758.2534     -4758.2534         0.0000           2963.7969     -9624.5040     23823.1240      2963.7969     -9624.5040
ENERGY:      84       236.0331       150.1957         0.0000         0.0000          -5963.5796       814.2912         0.0000         0.0000         0.0000          -4763.0596         0.0000     -4763.0596     -4763.0596         0.0000           2915.3766     -9677.7079     23823.1240      2915.3766     -9677.7079
ENERGY:      85       236.0799       150.1305         0.0000         0.0000          -5965.6580       811.7403         0.0000         0.0000         0.0000          -4767.7073         0.0000     -4767.7073     -4767.7073         0.0000           2867.9969     -9728.9453     23823.1240      2867.9969     -9728.9453
ENERGY:      86       236.1420       150.0812         0.0000         0.0000          -5967.7320       809.3428         0.0000         0.0000         0.0000          -4772.1660         0.0000     -4772.1660     -4772.1660         0.0000           2822.9184     -9777.8410     23823.1240      2822.9184     -9777.8410
ENERGY:      87       236.2214       150.0365         0.0000         0.0000          -5969.8105       807.0654         0.0000         0.0000         0.0000          -4776.4872         0.0000     -4776.4872     -4776.4872         0.0000           2778.6711     -9824.8938     23823.1240      2778.6711     -9824.8938
