# step Etot Epot T p 
361 -4874.5452 -4874.5452 0.0 1230.6358 
362 -4874.5761 -4874.5761 0.0 1229.0022 
363 -4874.5877 -4874.5877 0.0 1228.2096 
364 -4874.5924 -4874.5924 0.0 1227.8223 
365 -4874.5948 -4874.5948 0.0 1227.627 
366 -4874.5958 -4874.5958 0.0 1227.5324 
367 -4874.5962 -4874.5962 0.0 1227.4854 
368 -4874.5965 -4874.5965 0.0 1227.462 
369 -4874.5966 -4874.5966 0.0 1227.4503 
370 -4874.1157 -4874.1157 0.0 1242.4341 
371 -4874.4501 -4874.4501 0.0 1234.1534 
372 -4874.5457 -4874.5457 0.0 1230.618 
373 -4874.5762 -4874.5762 0.0 1228.996 
374 -4874.5877 -4874.5877 0.0 1228.211 
375 -4874.5924 -4874.5924 0.0 1227.8282 
376 -4874.5944 -4874.5944 0.0 1227.6402 
377 -4874.5956 -4874.5956 0.0 1227.5423 
378 -4874.5961 -4874.5961 0.0 1227.4961 
379 -4874.5963 -4874.5963 0.0 1227.4731 
380 -4874.5965 -4874.5965 0.0 1227.4617 
381 -4874.1151 -4874.1151 0.0 1242.4491 
382 -4874.451 -4874.451 0.0 1234.1256 
383 -4874.546 -4874.546 0.0 1230.6003 
384 -4874.5763 -4874.5763 0.0 1228.9898 
385 -4874.5877 -4874.5877 0.0 1228.2123 
386 -4874.5923 -4874.5923 0.0 1227.834 
387 -4874.5944 -4874.5944 0.0 1227.6484 
388 -4874.5956 -4874.5956 0.0 1227.5519 
389 -4874.596 -4874.596 0.0 1227.5065 
390 -4874.5962 -4874.5962 0.0 1227.484 
391 -4874.5963 -4874.5963 0.0 1227.4727 
392 -4874.1144 -4874.1144 0.0 1242.4637 
393 -4874.452 -4874.452 0.0 1234.0977 
394 -4874.5464 -4874.5464 0.0 1230.5826 
395 -4874.5764 -4874.5764 0.0 1228.9835 
396 -4874.5877 -4874.5877 0.0 1228.2135 
397 -4874.5923 -4874.5923 0.0 1227.8396 
398 -4874.5943 -4874.5943 0.0 1227.6565 
399 -4874.5955 -4874.5955 0.0 1227.5613 
400 -4874.5959 -4874.5959 0.0 1227.5167 
401 -4874.5961 -4874.5961 0.0 1227.4946 
402 -4874.5962 -4874.5962 0.0 1227.4836 
403 -4874.1138 -4874.1138 0.0 1242.478 
404 -4874.4529 -4874.4529 0.0 1234.0699 
405 -4874.5468 -4874.5468 0.0 1230.565 
406 -4874.5765 -4874.5765 0.0 1228.9772 
407 -4874.5876 -4874.5876 0.0 1228.2145 
408 -4874.5922 -4874.5922 0.0 1227.8449 
409 -4874.5942 -4874.5942 0.0 1227.6644 
410 -4874.5953 -4874.5953 0.0 1227.5706 
411 -4874.5958 -4874.5958 0.0 1227.5266 
412 -4874.596 -4874.596 0.0 1227.5049 
413 -4874.5961 -4874.5961 0.0 1227.4941 
414 -4874.1132 -4874.1132 0.0 1242.492 
415 -4874.4538 -4874.4538 0.0 1234.042 
416 -4874.5472 -4874.5472 0.0 1230.5474 
417 -4874.5766 -4874.5766 0.0 1228.9708 
418 -4874.5876 -4874.5876 0.0 1228.2155 
419 -4874.5923 -4874.5923 0.0 1227.8478 
420 -4874.5941 -4874.5941 0.0 1227.6721 
421 -4874.5953 -4874.5953 0.0 1227.5796 
422 -4874.5957 -4874.5957 0.0 1227.5364 
423 -4874.5959 -4874.5959 0.0 1227.5151 
424 -4874.596 -4874.596 0.0 1227.5045 
425 -4874.1133 -4874.1133 0.0 1242.4984 
426 -4874.446 -4874.446 0.0 1234.2951 
427 -4874.5433 -4874.5433 0.0 1230.7342 
428 -4874.5748 -4874.5748 0.0 1229.0881 
429 -4874.5868 -4874.5868 0.0 1228.2867 
430 -4874.5917 -4874.5917 0.0 1227.892 
431 -4874.5938 -4874.5938 0.0 1227.7009 
432 -4874.5951 -4874.5951 0.0 1227.6 
433 -4874.5956 -4874.5956 0.0 1227.5522 
434 -4874.5958 -4874.5958 0.0 1227.5283 
